instance,lb,ub,time,source
1-FullIns_3,4.0,4.0,0.0,jabrayilov22
1-FullIns_4,5.0,5.0,0.0,jabrayilov22
1-FullIns_5,6.0,6.0,0.9,jabrayilov22
1-Insertions_4,5.0,5.0,33.3,jabrayilov22
1-Insertions_5,4.0,6.0,,"hoeve21-table3, jabrayilov22"
1-Insertions_6,4.0,7.0,,"hoeve21-table3, jabrayilov22"
1hexagon_tess,3.0,3.0,0.006,held
2-FullIns_3,5.0,5.0,0.0,jabrayilov22
2-FullIns_4,6.0,6.0,0.0,jabrayilov22
2-FullIns_5,7.0,7.0,1.5,jabrayilov22
2-Insertions_3,4.0,4.0,0.1,jabrayilov22
2-Insertions_4,4.0,5.0,,"hoeve21-table3, jabrayilov22"
2-Insertions_5,4.0,6.0,,"hoeve21-table3, jabrayilov22"
2hexagon_tess,3.0,3.0,0.002,held
3-FullIns_3,6.0,6.0,0.0,jabrayilov22
3-FullIns_4,7.0,7.0,0.0,jabrayilov22
3-FullIns_5,8.0,8.0,3.0,jabrayilov22
3-Insertions_3,4.0,4.0,0.7,jabrayilov22
3-Insertions_4,4.0,5.0,,"hoeve21-table3, jabrayilov22"
3-Insertions_5,3.0,6.0,,hoeve21-table3
3_partite_3_diff_sizes,3.0,3.0,0.0,held
3_partite_size_6,3.0,3.0,0.0,held
3hexagon_tess,3.0,3.0,0.007,held
3partite6,3.0,3.0,0.003,held
4-FullIns_3,7.0,7.0,0.0,jabrayilov22
4-FullIns_4,8.0,8.0,0.0,jabrayilov22
4-FullIns_5,9.0,9.0,9.6,jabrayilov22
4-Insertions_3,4.0,4.0,10.0,jabrayilov22
4-Insertions_4,3.0,5.0,,hoeve21-table3
4_partite_4_diff_sizes,4.0,4.0,0.0,held
4triangles,3.0,3.0,0.007,held
5-FullIns4,,9.0,,ternier17
5-FullIns_3,8.0,8.0,0.0,jabrayilov18
5-FullIns_4,9.0,9.0,0.05,jabrayilov18
6hexagon_tess,3.0,3.0,0.0,held
7partite2,7.0,7.0,0.003,held
C2000.5,20.0,208.0,,hoeve21-table3
C2000.9,84.0,563.0,,hoeve21-table3
C4000.5,20.0,381.0,,hoeve21-table3
DSJC1000.1,6.0,20.0,,"hoeve21-table3, malaguti11"
DSJC1000.5,19.0,84.0,,"hoeve21-table3, malaguti11"
DSJC1000.9,85.0,224.0,,"hoeve21-table3, malaguti11"
DSJC125.1,5.0,5.0,4.0,jabrayilov22
DSJC125.5,17.0,17.0,18050.8,malaguti11
DSJC125.9,44.0,44.0,11.430202,held
DSJC250.1,7.0,8.0,,"held, malaguti11"
DSJC250.5,26.0,28.0,,"gualandi12, malaguti11"
DSJC250.9,71.0,72.0,,gualandi12
DSJC500.1,6.0,12.0,,"jabrayilov22, malaguti11"
DSJC500.5,43.0,48.0,,"held, malaguti11"
DSJC500.9,123.0,127.0,,"gualandi12, malaguti11"
DSJR500.1,12.0,12.0,0.03,hoeve21-table3
DSJR500.1c,85.0,85.0,0.8,gualandi12
DSJR500.5,122.0,122.0,342.2,malaguti11
abb313GPIA,9.0,9.0,9784.9,jabrayilov22
anna,11.0,11.0,0.0,jabrayilov22
ash331GPIA,4.0,4.0,15.26,jabrayilov18
ash608GPIA,4.0,4.0,51.63,jabrayilov18
ash958GPIA,4.0,4.0,105.77,jabrayilov18
david,11.0,11.0,0.0,jabrayilov22
dodecahedron,3.0,3.0,0.13,held
flat1000_50_0,50.0,112.0,,"held, ternier17"
flat1000_60_0,19.0,112.0,,"hoeve21-table3, ternier17"
flat1000_76_0,19.0,111.0,,"hoeve21-table3, ternier17"
flat300_20_0,20.0,20.0,683.0,gualandi12
flat300_26_0,26.0,26.0,289.0,gualandi12
flat300_28_0,28.0,33.0,,"gualandi12, held"
fpsol2.i.1,65.0,65.0,0.0,jabrayilov22
fpsol2.i.2,30.0,30.0,0.0,jabrayilov22
fpsol2.i.3,30.0,30.0,0.0,jabrayilov22
fpsol2_i_1,65.0,65.0,10.6,malaguti11
fpsol2_i_2,30.0,30.0,11.2,malaguti11
fpsol2_i_3,30.0,30.0,10.0,malaguti11
games120,9.0,9.0,0.0,jabrayilov22
homer,13.0,13.0,0.0,jabrayilov22
huck,11.0,11.0,0.0,jabrayilov22
icosahedron,4.0,4.0,0.003,held
inithx.i.1,54.0,54.0,0.0,jabrayilov22
inithx.i.2,31.0,31.0,0.0,jabrayilov22
