instance,lb,ub
1-FullIns_3,4,4
1-FullIns_4,5,5
1-FullIns_5,6,6
1-Insertions_4,5,5
1-Insertions_5,6,6
1-Insertions_6,4,7
1hexagon_tess,3,3
2_partite_size6,2,2
2-FullIns_3,5,5
2-FullIns_4,6,0
2-FullIns_5,7,7
2-Insertions_3,4,4
2-Insertions_4,5,5
2-Insertions_5,6,6
2hexagon_tess,3,3
3_partite_3_diff_sizes,3,3
3_partite_size_6,3,3
3-FullIns_3,6,6
3-FullIns_4,7,7
3-FullIns_5,8,8
3-Insertions_3,4,4
3-Insertions_4,5,5
3-Insertions_5,4,6
3hexagon_tess,3,3
3partite6,3,3
4_partite_4_diff_sizes,4,4
4-FullIns_3,7,7
4-FullIns_4,8,0
4-FullIns_5,9,9
4-Insertions_3,4,4
4-Insertions_4,5,5
4triangles,3,3
5-FullIns_3,8,8
5-FullIns_4,9,9
6hexagon_tess,3,3
7partite2,7,7
abb313GPIA,9,9
anna,11,11
ash331GPIA,4,4
ash608GPIA,4,4
ash958GPIA,4,4
c2000.5,0,0
c4000.5,0,0
david,11,11
dodecahedron,3,3
DSJC1000.1,10,20
DSJC1000.5,73,82
DSJC1000.9,216,222
DSJC125.1,5,5
DSJC125.5,17,17
DSJC125.9,44,44
DSJC250.1,7,8
DSJC250.5,26,28
DSJC250.9,72,72
DSJC500.1,9,12
DSJC500.5,43,47
DSJC500.9,123,126
DSJR500.1,12,12
DSJR500.1c,85,85
DSJR500.5,122,122
flat1000_50_0,50,50
flat1000_60_0,60,60
flat1000_76_0,72,81
flat300_20_0,20,20
flat300_26_0,26,26
flat300_28_0,28,28
fpsol2.i.1,65,65
fpsol2.i.2,30,30
fpsol2.i.3,30,30
g0001.col,0,0
g0002.col,24,24
g0003.col,13,13
g0004.col,36,36
g0005.col,33,33
g0006.col,6,6
g0007.col,36,36
g0008.col,29,29
g0009.col,37,37
g0010.col,34,34
g0011.col,7,7
g0012.col,23,23
g0013.col,35,35
g0014.col,33,33
g0015.col,12,12
g0016.col,9,9
g0017.col,10,10
g0018.col,9,9
g0019.col,10,10
g0020.col,11,11
g0021.col,9,9
g0022.col,12,12
g0023.col,8,8
g0024.col,10,10
g0025.col,10,10
g0026.col,10,10
g0027.col,10,10
g0028.col,10,10
g0029.col,10,10
g0030.col,9,9
g0031.col,10,10
g0032.col,10,10
g0033.col,10,10
g0034.col,10,10
g0035.col,10,10
g0036.col,10,10
g0037.col,10,10
g0038.col,10,10
g0039.col,10,10
g0040.col,9,9
g0041.col,10,10
g0042.col,9,9
g0043.col,10,10
g0044.col,9,9
g0045.col,10,10
g0046.col,9,9
g0047.col,15,15
g0048.col,5,5
g0049.col,30,30
g0050.col,9,9
g0051.col,10,10
g0052.col,27,27
g0053.col,8,8
g0054.col,20,20
g0055.col,10,10
g0056.col,14,15
g0057.col,6,7
g0058.col,15,15
g0059.col,23,23
g0060.col,33,33
g0061.col,7,7
g0062.col,44,44
g0063.col,29,29
g0064.col,31,31
g0065.col,34,34
g0066.col,35,35
g0067.col,36,36
g0068.col,42,42
g0069.col,34,34
g0070.col,33,33
g0071.col,40,40
g0072.col,36,36
g0073.col,40,40
g0074.col,38,38
g0075.col,30,30
g0076.col,37,37
g0077.col,40,40
g0078.col,38,38
g0079.col,34,34
g0080.col,32,32
g0081.col,40,40
g0082.col,40,40
g0083.col,43,43
g0084.col,38,38
g0085.col,39,39
g0086.col,42,42
g0087.col,39,39
g0088.col,42,42
g0089.col,40,40
g0090.col,41,41
g0091.col,41,41
g0092.col,11,11
g0093.col,3,3
g0094.col,27,27
g0095.col,6,6
g0096.col,22,22
g0097.col,8,8
g0098.col,31,31
g0099.col,10,10
g0100.col,8,8
g0101.col,26,26
g0102.col,23,23
g0103.col,28,28
g0104.col,10,10
g0105.col,9,9
g0106.col,22,22
g0107.col,14,14
g0108.col,23,23
g0109.col,21,21
g0110.col,24,24
g0111.col,26,26
g0112.col,24,24
