Instance,$n$,$m$,$d$,ZykovColor,gc-cdcl,POP-S,Assignment,CliColCom,exactcolors,Dsatur
1-FullIns_3,30,100,0.23,0.1,0.1,0.3,0.1,0.1,0.1,0.1
1-FullIns_4,93,593,0.14,0.1,0.1,0.4,0.1,0.1,,0.1
1-FullIns_5,282,3247,0.08,0.1,0.5,1.0,0.1,0.2,,0.1
1-Insertions_4,67,232,0.10,158.1,,1.2,0.4,1.5,,
1-Insertions_5,202,1227,0.06,,,,,,,
1-Insertions_6,607,6337,0.03,,,,,,,
2-FullIns_3,52,201,0.15,0.1,0.1,0.2,0.1,0.1,0.1,0.1
2-FullIns_4,212,1621,0.07,0.1,0.2,0.5,0.1,0.1,,0.1
2-FullIns_5,852,12201,0.03,0.8,186.3,4.1,0.2,2.3,,1.6
2-Insertions_3,37,72,0.11,0.2,0.4,0.2,0.1,0.1,273.5,0.1
2-Insertions_4,149,541,0.05,,,,,,,
2-Insertions_5,597,3936,0.02,,,,,,,
3-FullIns_3,80,346,0.11,0.1,0.1,0.2,0.1,0.1,0.1,0.1
3-FullIns_4,405,3524,0.04,0.1,0.5,1.1,0.1,0.2,,0.1
3-FullIns_5,2030,33751,0.02,5.4,14.8,23.2,5.4,32.2,,
3-Insertions_3,56,110,0.07,1.0,7.0,0.2,0.1,0.1,,2.3
3-Insertions_4,281,1046,0.03,,,,,,,
3-Insertions_5,1406,9695,0.01,,,,,,,
4-FullIns_3,114,541,0.08,0.1,0.1,0.3,0.1,0.1,0.1,0.1
4-FullIns_4,690,6650,0.03,0.1,1.9,2.3,0.1,0.8,,0.1
4-FullIns_5,4146,77305,0.01,41.1,,132.4,68.6,687.2,,
4-Insertions_3,79,156,0.05,11.3,2300,0.3,0.3,0.2,,2145
4-Insertions_4,475,1795,0.02,,,,,,,
5-FullIns_3,154,792,0.07,0.1,0.1,0.3,0.1,0.1,0.1,0.1
5-FullIns_4,1085,11395,0.02,0.2,3.8,5.9,0.2,5.9,,0.3
abb313GPIA,1557,53356,0.04,305.9,,24.9,0.6,,,
anna,138,493,0.05,0.1,0.1,0.2,0.1,0.1,0.1,0.1
ash331GPIA,662,4181,0.02,15.0,2.5,1.8,2.0,0.1,,0.2
ash608GPIA,1216,7844,0.01,128.1,27.3,5.0,0.2,0.3,,
ash958GPIA,1916,12506,0.01,1156,122.2,12.4,0.3,0.7,,4.3
C2000.5,2000,999836,0.50,,,,,,,
C2000.9,2000,1799532,0.90,,,,,,,
C4000.5,4000,4000268,0.50,,,,,,,
david,87,406,0.11,0.1,0.1,0.2,0.1,0.1,0.1,0.1
DSJC1000.1,1000,49629,0.10,,,,,,,
DSJC1000.5,1000,249826,0.50,,,,,,,
DSJC1000.9,1000,449449,0.90,,,,,,,
DSJC125.1,125,736,0.09,2.4,0.8,0.3,1.7,0.1,1713,0.1
DSJC125.5,125,3891,0.50,,,,,,,
DSJC125.9,125,6961,0.90,508.1,,,,,7.0,
DSJC250.1,250,3218,0.10,,,,,,,
DSJC250.5,250,15668,0.50,,,,,,,
DSJC250.9,250,27897,0.90,nan,,,,,,
DSJC500.1,500,12458,0.10,,,,,,,
