instance,lb,ub,time,rep_lb,rep_ub,time
DSJC125.1,5,5,17314.7,5,5,65.5
DSJC125.5,14,20,,14,20,
DSJC125.9,44,44,0.5,44,44,0.5
DSJC250.1,5,17,,5,10,
DSJC250.5,17,48,,18,40,
DSJC250.9,72,72,1935.2,72,72,2401.5
DSJC500.9,123,132,,123,133,
DSJR500.1c,85,85,1.3,85,85,1.3
queen5_5,5,5,0,5,5,0
queen6_6,7,7,0.5,7,7,0.5
queen7_7,7,7,0.3,7,7,0.2
queen8_8,9,9,150.6,9,9,34.9
queen9_9,9,10,,9,10,
queen10_10,11,12,,10,12,
queen11_11,11,13,,11,13,
queen12_12,12,14,,12,15,
queen13_13,13,16,,13,16,
queen14_14,14,17,,14,18,
queen15_15,16,27,,15,19,
queen16_16,,256,,16,24,
myciel3,4,4,0,4,4,0
myciel4,5,5,0.2,5,5,0.2
myciel5,6,6,150.6,6,6,61.2
myciel6,6,7,,6,7,
myciel7,4,8,,4,8,
mulsol.i.1,49,49,6.8,49,49,2
mulsol.i.2,31,31,6.2,31,31,12.3
mulsol.i.3,31,31,4.9,31,31,9.8
mulsol.i.4,31,31,5.8,31,31,10.4
mulsol.i.5,31,31,5.4,31,31,11.1
zeroin.i.1,49,49,9.1,49,49,10
zeroin.i.2,30,30,11,30,30,0.5
zeroin.i.3,30,30,11,30,30,9.4
anna,11,11,2.8,11,11,0.2
david,11,11,0.4,11,11,0.1
huck,11,11,0.2,11,11,0.1
jean,10,10,0.4,10,10,0.1
games120,9,9,4.9,9,9,0.4
miles250,8,8,1.8,8,8,0.2
miles500,20,20,1.3,20,20,0.2
miles750,31,31,0.9,31,31,2
miles1000,42,42,0.7,42,42,3.3
miles1500,73,73,0.2,73,73,1
1-Insertions_4,4,5,,5,5,15050.7
1-Insertions_5,3,6,,4,6,
2-Insertions_4,4,5,,4,5,
4-Insertions_3,3,4,,4,4,13564.5
1-FullIns_4,5,5,17.3,5,5,4.8
1-FullIns_5,5,6,,5,6,
2-FullIns_3,5,5,0.3,5,5,0
2-FullIns_4,6,6,16021.6,6,6,115.6
3-FullIns_3,6,6,1.4,6,6,0.2
4-FullIns_3,7,7,4.3,7,7,0.4
5-FullIns_3,8,8,14.6,8,8,0.7
mug88_1,4,4,6.5,4,4,0.7
mug88_25,4,4,6.9,4,4,5.3
mug100_1,4,4,31,4,4,5.8
mug100_25,4,4,119.6,4,4,28.6
