,,,Relaxed DD,,,,Exact DD,,,,
instnace,n,m,LB,UB,Size,Time,LB,UB,Size,Time,R/E
1-FullIns_3,30,100,4,4,250,0.06,4,4,748,0.09,0.33
2-FullIns_3,52,201,5,5,"1,233",0.83,5,5,"12,867",2.73,0.1
3-FullIns_3,80,346,6,6,"6,058",13.15,6,6,"435,083",581.71,0.01
David,87,406,11,11,247,0.01,11,11,"37,030",5.07,0.01
DSJC125.9,125,6961,44,44,"9,435",25.11,44,44,"9,869",1.19,0.96
DSJR500.1c,500,"121,275",85,85,"138,048",1358.57,85,85,"145,777",5.62,0.95
fpsol2.i.1,496,"11,654",65,65,"6,947",10.33,65,65,"8,296",0.37,0.84
fpsol2.i. 2,451,8691,30,30,958,0.21,30,30,"10,168",0.56,0.09
fpsol2.i. 3,425,8688,30,30,971,0.25,30,30,"10,258",0.76,0.09
Huck,74,301,11,11,787,0.23,11,11,1078,0.07,0.73
inithx.i. 1,864,"18,707",54,54,"3,994",3.17,54,54,"15,805",0.68,0.25
inithx.i. 2,645,"13,979",31,31,"22,340",121.09,31,31,"24,589",4.01,0.91
inithx.i. 3,621,"13,969",31,31,"22,503",163.7,31,31,"24,551",2.37,0.92
Jean,80,254,10,10,292,0.01,10,10,"5,252",0.73,0.06
miles 1000,128,3216,42,42,4105,1.87,42,42,"8,032",0.33,0.51
miles 1500,128,5198,73,73,2698,1.1,73,73,"4,008",0.16,0.67
miles250,128,387,8,8,295,0.01,8,8,"2,813",0.46,0.1
miles500,128,1170,20,20,362,0.04,20,20,"15,273",1.71,0.02
miles750,128,2113,31,31,711,0.12,31,31,"13,154",0.96,0.05
mulsol.i. 1,197,"3,925",49,49,1108,0.4,49,49,2488,0.07,0.45
mulsol.i. 2,188,"3,885",31,31,794,0.19,31,31,2612,0.09,0.3
mulsol.i. 3,184,"3,916",31,31,790,0.19,31,31,2622,0.09,0.3
mulsol.i. 4,185,"3,946",31,31,807,0.19,31,31,2637,0.09,0.31
mulsol.i. 5,186,"3,973",31,31,808,0.19,31,31,2650,0.09,0.3
myciel3,11,20,4,4,60,0.04,4,4,63,0.02,0.95
myciel4,23,71,5,5,453,7.03,5,5,460,0.85,0.98
queen5_5,25,160,5,5,195,0.01,5,5,561,0.03,0.35
queen6_6,36,290,7,7,1811,2.35,7,7,"2,687",0.36,0.67
queen7_7,49,476,7,7,"3,303",2.77,7,7,"13,839",0.88,0.24
queen8_8,64,728,9,9,"28,742",310.31,9,9,"81,575",107.59,0.35
r125.1,125,209,5,5,340,0.02,5,5,921,0.05,0.37
r125.1c,125,7501,46,46,3570,2.08,46,46,4008,0.13,0.89
r125.5,125,3838,36,36,"20,065",212.9,36,36,"23,243",2.03,0.86
r260.1c,250,"30,227",64,64,"16,426",31.19,64,64,"20,323",0.61,0.81
zeroin.i. 1,211,"4,100",49,49,1025,0.32,49,49,2770,0.12,0.37
zeroin.i. 2,211,3541,30,30,775,0.17,30,30,3471,0.17,0.22
zeroin.i. 3,206,3540,30,30,770,0.2,30,30,3458,0.19,0.22
4-FullIns_3,114,541,7,7,"17,295",99.58,0,-,"856,849",Timeout,0.02
5-FullIns_3,154,792,8,8,"61,201","1,233.00",0,-,> 1M,-,0.06
anna,138,493,11,11,357,0.01,0,-,> 1M,-,0
DSJR500.1,500,3555,12,12,627,0.03,0,-,> 1M,-,0
games 120,120,638,9,9,"36,092",92.74,0,-,> 1M,-,0.04
le450_25a,450,8260,25,25,944,0.17,0,-,> 1M,-,0
le450_25b,450,8263,25,25,828,0.14,0,-,> 1M,-,0
le450_5d,450,9757,5,5,701,0.03,0,-,> 1M,-,0
r1000.1,1000,"14,378",20,20,1235,0.2,0,-,> 1M,-,0
r250.1,250,867,8,8,"11,974",7.32,0,-,> 1M,-,0.01
school1,385,"19,095",14,14,"2,366",1.67,0,-,> 1M,-,0
school1_nsh,352,"14,612",14,14,"7,406",15.59,0,-,> 1M,-,0.01
wap05a,905,"43,081",50,50,"19,431",15.8,0,-,> 1M,-,0.02
2-Insertions_3,37,72,3,4,2656,Timeout,4,4,"2,964",930.37,0.9
r250.5,250,"14,849",65,67,"123,585",Timeout,65,65,"232,727",134.95,0.53
