instance,n,m,lit_lb,lit_ub,lb,lb_setting,ub,ub_setting
1-FullIns_3,30,100,4,4,4,ABCDEFG,4,DSATUR
1-FullIns_4,93,593,5,5,4,ABCDG,5,DSATUR
1-FullIns_5,282,3247,6,6,4,ABCD,6,DSATUR
1-Insertions_4,67,232,5,5,3,ABCDFG,5,DSATUR
1-Insertions_5,202,1227,6,6,3,ABCD,6,DSATUR
1-Insertions_6,607,6337,4,7,3,ABCD,7,DSATUR
2-FullIns_3,52,201,5,5,5,ABCDEFG,5,DSATUR
2-FullIns_4,212,1621,6,6,5,C,6,DSATUR
2-FullIns_5,852,12201,7,7,4,ABCD,7,DSATUR
2-Insertions_3,37,72,4,4,4,EFG,4,DSATUR
2-Insertions_4,149,541,5,5,3,ABCD,5,DSATUR
2-Insertions_5,597,3936,6,6,3,ABCD,6,DSATUR
3-FullIns_3,80,346,6,6,6,CDEFG,6,DSATUR
3-FullIns_4,405,3524,7,7,5,ABCD,7,DSATUR
3-FullIns_5,2030,33751,8,8,5,ABCD,8,DSATUR
3-Insertions_3,56,110,4,4,3,ABCDEFG,4,DSATUR
3-Insertions_4,281,1046,5,5,3,ABCD,5,DSATUR
3-Insertions_5,1406,9695,4,6,3,ABCD,6,DSATUR
4-FullIns_3,114,541,7,7,7,C,7,DSATUR
4-FullIns_4,690,6650,8,8,7,C,8,DSATUR
4-FullIns_5,4146,77305,9,9,7,C,9,DSATUR
4-Insertions_3,79,156,4,4,3,ABCDG,4,DSATUR
4-Insertions_4,475,1795,5,5,3,ABCD,5,DSATUR
5-FullIns_3,154,792,8,8,8,C,8,DSATUR
5-FullIns_4,1085,11395,9,9,8,C,9,DSATUR
abb313GPIA,1557,53356,9,9,8,ABCD,10,DSATUR
anna,138,493,11,11,11,BCD,11,DSATUR
ash331GPIA,662,4181,4,4,4,ABCD,5,DSATUR
ash608GPIA,1216,7844,4,4,4,B,5,DSATUR
ash958GPIA,1916,12506,4,4,4,B,5,DSATUR
C2000.5,2000,999836,99,145,20,CD,208,DSATUR
C2000.9,2000,1799532,98,400,85,BD,563,DSATUR
C4000.5,4000,4000268,107,259,20,CD,381,DSATUR
David,87,406,11,11,11,BCDFG,11,DSATUR
DSJC1000.1,1000,49629,10,20,6,BCD,26,DSATUR
DSJC1000.5,1000,249826,73,82,19,CD,119,DSATUR
DSJC1000.9,1000,449449,216,222,86,D,304,DSATUR
DSJC125.1,125,736,5,5,5,BCD,6,DSATUR
