instance,n,m,lit_lb,lit_ub,held_lb,held_ub,held_time,lb,ub,time
1-FullIns_3,30,100,4,4,4,4,0.01,4,4,0.06
1-FullIns_4,93,593,5,5,4,5,Timeout,4,5,Timeout
1-FullIns_5,282,"3,247",6,6,4,6,Timeout,4,6,Timeout
1-Insertions_4,67,232,5,5,3,\mathbf{5}\quad,Timeout,3,5,Timeout
1-Insertions_5,202,"1,227",6,6,3,6,Timeout,3,6,Timeout
1-Insertions_6,607,"6,337",4,7,-,7,Timeout,3,7,Timeout
2-FullIns_3,52,201,5,5,5,5,0.01,5,5,0.83
2-FullIns_4,212,"1,621",6,6,5,6,Timeout,5,6,Timeout
2-FullIns_5,852,"12,201",7,7,5,7,Timeout,4,7,Timeout
2-Insertions_3,37,72,4,4,4,4,553,3,4,Timeout
2-Insertions_4,149,541,5,5,3,5,Timeout,3,5,Timeout
2-Insertions_5,597,"3,936",6,6,-,6,Timeout,3,6,Timeout
3-FullIns_3,80,346,6,6,6,6,0.03,6,6,13.15
3-FullIns_4,405,"3,524",7,7,6,7,Timeout,5,7,Timeout
3-FullIns_5,"2,030","33,751",8,8,6,,Timeout,5,8,Timeout
3-Insertions_3,56,110,4,4,3,4,Timeout,3,4,Timeout
3-Insertions_4,281,"1,046",5,5,-,5,Timeout,3,5,Timeout
3-Insertions_5,1406,"9,695",4,6,_,6,Timeout,3,6,Timeout
4-FullIns_3,114,541,7,7,7,7,0.05,7,7,99.58
4-FullIns_4,690,"6,650",8,8,7,8,Timeout,7,8,Timeout
4-FullIns_5,4146,"77,305",9,9,-,9,Timeout,7,9,Timeout
4-Insertions_3,79,156,4,4,3,4,Timeout,3,4,Timeout
4-Insertions_4,475,"1,795",5,5,-,5,Timeout,3,5,Timeout
5-FullIns_3,154,792,8,8,8,8,0.07,8,8,1233
5-FullIns_4,1085,"11,395",9,9,8,9,Timeout,8,9,Timeout
abb313GPIA,1557,"53,356",9,9,-,10,Timeout,8,10,Timeout
anna,138,493,11,11,11,11,0.02,11,11,0.01
ash331GPIA,662,"4,181",4,4,4,6,Timeout,4,5,Timeout
ash608GPIA,1216,"7,844",4,4,-,6,Timeout,3,5,Timeout
ash958GPIA,1916,"12,506",4,4,-,6,Timeout,3,5,Timeout
C2000.5,2000,"999,836",99,145,-,207,Timeout,20,208,Timeout
C2000.9,2000,"1,799,532",-,400,-,550,Timeout,84,563,Timeout
C4000.5,4000,"4,000,268",107,259,-,376,Timeout,20,381,Timeout
david,87,406,11,11,11,11,0.01,11,11,0.01
DSJC1000.1,1000,"49,629",10,20,-,25,Timeout,6,26,Timeout
DSJC1000.5,1000,"249,826",73,82,-,114,Timeout,19,119,Timeout
DSJC1000.9,1000,"449,449",216,222,-,301,Timeout,85,304,Timeout
DSJC125.1,125,736,5,5,5,6,Timeout,5,6,Timeout
DSJC125.5,125,3891,17,17,16,18,Timeout,14,22,Timeout
DSJC125.9,125,6961,44,44,44,44,19.23,44\quad,44,25.11
DSJC250.1,250,3218,7,8,-,10,Timeout,5,10,Timeout
DSJC250.5,250,"15,668",26,28,26,30,Timeout,16,36,Timeout
DSJC250.9,250,"27,897",72,72,71,73,Timeout,71,74,Timeout
DSJC500.1,500,"12,458",9,12,-,16,Timeout,5,16,Timeout
DSJC500.5,500,"62,624",43,47,-,65,Timeout,18,68,Timeout
DSJC500.9,500,"112,437",123,126,_,163,Timeout,84,165,Timeout
DSJR500.1,500,3555,12,12,12,12,1173,12,12,0.03
DSJR500.1c,500,"121,275",85,85,85,85,2428,85,85,1358.57
DSJR500.5,500,"58,862",122,122,-,132,Timeout,112,126,Timeout
flat1000_50_0,1000,"245,000",50,50,-,113,Timeout,19,115,Timeout
flat1000_60_0,1000,"245,830",60,60,-,112,Timeout,19,114,Timeout
flat1000_76_0,1000,"246,708",72,81,-,115,Timeout,19,116,Timeout
flat300_20_0,300,"21,375",20,20,-,42,Timeout,16,42,Timeout
flat300_26_0,300,"21,633",26,26,-,42,Timeout,16,43,Timeout
flat300_28_0,300,"21,695",28,28,28,33,Timeout,16,44,Timeout
fpsol2.i.1,496,"11,654",65,65,65,65,1.13,65,65,10.33
