instance,lb,ub
1-FullIns_3,4,4
1-FullIns_4,5,5
1-FullIns_5,6,6
1-Insertions_4,5,5
1-Insertions_5,6,6
1-Insertions_6,4,7
2-FullIns_3,5,5
2-FullIns_4,6,6
2-FullIns_5,7,7
2-Insertions_3,4,4
2-Insertions_4,5,5
2-Insertions_5,6,6
3-FullIns_3,6,6
3-FullIns_4,7,7
3-FullIns_5,8,8
3-Insertions_3,4,4
3-Insertions_4,5,5
3-Insertions_5,4,6
4-FullIns_3,7,7
4-FullIns_4,8,8
4-FullIns_5,9,9
4-Insertions_3,4,4
4-Insertions_4,5,5
5-FullIns_3,8,8
5-FullIns_4,9,9
abb313GPIA,9,9
anna,11,11
ash331GPIA,4,4
ash608GPIA,4,4
ash958GPIA,4,4
C2000.5,99,145
C2000.9,98,400
C4000.5,107,259
DSJC1000.1,10,20
DSJC1000.5,73,82
DSJC1000.9,216,222
DSJC125.1,5,5
DSJC125.5,17,17
DSJC125.9,44,44
DSJC250.1,6,8
DSJC250.5,26,28
DSJC250.9,72,72
DSJC500.1,9,12
DSJC500.5,43,47
DSJC500.9,123,126
DSJR500.1,12,12
DSJR500.1c,85,85
DSJR500.5,122,122
flat1000_50_0,50,50
flat1000_60_0,60,60
flat1000_76_0,72,81
flat300_20_0,20,20
flat300_26_0,26,26
flat300_28_0,28,28
fpsol2.i.1,65,65
fpsol2.i.2,30,30
fpsol2.i.3,30,30
games120,9,9
inithx.i.1,54,54
inithx.i.2,31,31
inithx.i.3,31,31
jean,10,10
latin_square_10,90,97
le450_15a,15,15
le450_15b,15,15
le450_15c,15,15
le450_15d,15,15
le450_25a,25,25
le450_25b,25,25
le450_25c,25,25
le450_25d,25,25
le450_5a,5,5
le450_5b,5,5
le450_5c,5,5
le450_5d,5,5
miles1000,42,42
miles1500,73,73
miles250,8,8
miles500,20,20
miles750,31,31
mug100_1,4,4
mug100_25,4,4
mug88_1,4,4
mug88_25,4,4
mulsol.i.1,49,49
mulsol.i.2,31,31
mulsol.i.3,31,31
mulsol.i.4,31,31
mulsol.i.5,31,31
myciel3,4,4
myciel4,5,5
myciel5,6,6
myciel6,7,7
myciel7,8,8
qg.order100,100,100
qg.order30,30,30
qg.order40,40,40
qg.order60,60,60
queen10_10,11,11
queen11_11,11,11
queen12_12,12,12
queen13_13,13,13
queen14_14,14,14
queen15_15,15,15
queen16_16,16,17
queen5_5,5,5
queen6_6,7,7
queen7_7,7,7
queen8_12,12,12
queen8_8,9,9
queen9_9,10,10
r1000.1,20,20
r1000.1c,96,98
r1000.5,234,234
r125.1,5,5
r125.1c,46,46
r125.5,36,36
r250.1,8,8
r250.1c,64,64
r250.5,65,65
school1,14,14
school1_nsh,14,14
wap01a,41,43
wap02a,40,42
wap03a,40,47
wap04a,40,42
wap05a,50,50
wap06a,40,40
wap07a,40,41
wap08a,40,42
will199GPIA,7,7
zeroin.i.1,49,49
zeroin.i.2,30,30
zeroin.i.3,30,30
