instance,lb,ub,time
1-FullIns_4,5,5,0.01
1-FullIns_5,6,6,1.54
2-FullIns_4,6,6,0.01
2-FullIns_5,7,7,72.45
3-FullIns_3,6,6,0.00
3-FullIns_4,7,7,0.02
3-FullIns_5,8,8,32.90
4-FullIns_3,7,7,0.00
4-FullIns_4,8,8,0.02
4-FullIns_5,9,9,16.03
4-Insertions_3,4,4,15.75
5-FullIns_3,8,8,0.00
5-FullIns_4,9,9,0.05
ash608GPIA,4,4,51.63
ash958GPIA,4,4,105.77
DSJC125.5,13,22,
DSJC125.9,42,44,
DSJR500.1c,83,86,
DSJR500.5,122,122,572.01
le450_15a,15,15,598.55
le450_15b,15,15,700.50
le450_15c,15,,
le450_15d,15,26,
le450_25c,25,31,
le450_25d,25,31,
le450_5a,5,5,21.17
le450_5b,5,5,140.16
mug100_1,4,4,0.09
mug100_25,4,4,0.31
qg.order40,40,40,534.83
qg.order60,60,62,
queen10_10,10,12,
queen11_11,11,13,
school1_nsh,14,14,12.76
wap05a,50,50,1308.37
wap06a,40,,
will199GPIA,7,7,11.73
ash331GPIA,4,4,15.26
abb313GPIA,9,10,
