instance,omega,sol,time,lb_root,time_root,mmt_cols,tabu_cols,ilp_cols
DSJC125.1,3,5,21.0,5,121,198.0,1130.0,6.0
DSJC125.5,9,17,121.8,16,247,819.0,160.0,5.0
DSJC125.9,28,44,120.9,43,20,317.0,2.0,0.0
DSJC250.1,4,8,20.4,6,tl,378.0,2802.0,0.0
DSJC250.5,10,28,91.5,20,tl,2308.0,439.0,8.0
DSJC250.9,34,72,96.0,71,446,1262.0,2.0,0.0
DSJC500.1,4,12,213.1,5,tl,1316.0,7181.0,0.0
DSJC500.5,10,48,453.8,16,tl,8715.0,1239.0,0.0
DSJC500.9,44,127,3214.8,123,13989,5015.0,0.0,0.0
DSJC1000.1,5,20,262.1,-,tl,2852.0,5542.0,0.0
DSJC1000.5,13,84,9524.3,-,tl,63035.0,3065.0,0.0
DSJC1000.9,51,224,8894.2,-,tl,32872.0,0.0,0.0
DSJR500.1,11,12,24.3,12,11,1556.0,0.0,0.0
DSJR500.1c,67,85,94.5,85,194,371.0,1.0,1.0
DSJR500.5,111,122,132.2,122,210,4946.0,0.0,0.0
latin_sq._10,90,102,5568.2,90,683,23610.0,0.0,0.0
le450_5a,5,5,0.3,,,,,
le450_5b,5,5,0.2,,,,,
le450_5c,5,5,0.1,,,,,
le450_5d,5,5,0.2,,,,,
le450_15a,15,15,0.1,,,,,
le450_15b,15,15,0.2,,,,,
le450_15c,15,15,3.1,,,,,
le450_15d,15,15,3.8,,,,,
le450_25a,25,25,0.1,,,,,
le450_25b,25,25,0.1,,,,,
le450_25c,25,25,1356.6,,,,,
le450_25d,25,25,66.6,,,,,
queen5_5,5,5,0.2,,,,,
queen6_6,6,7,3.0,7,3,167.0,0.0,0.0
queen7_7,7,7,0.2,,,,,
queen8_8,8,9,2.6,9,1,441.0,0.0,0.0
queen8_12,12,12,0.2,,,,,
queen9_9,9,10,2.6,9,3,974.0,63.0,0.0
queen10_10,10,11,2.9,10,3,1543.0,83.0,0.0
queen11_11,11,12,2.7,11,10,1861.0,66.0,0.0
queen12_12,12,13,3.9,12,12,2193.0,48.0,0.0
queen13_13,13,14,83.8,13,22,2167.0,47.0,0.0
queen14_14,14,15,136.0,14,36,3950.0,85.0,0.0
queen15_15,15,16,106.6,15,45,2586.0,130.0,0.0
queen16_16,16,17,124.7,16,47,2743.0,181.0,0.0
myciel3,2,4,3.7,3,1,15.0,0.0,0.0
myciel4,2,5,3.9,4,1,44.0,1.0,0.0
myciel5,2,6,3.9,4,1,95.0,20.0,0.0
myciel6,2,7,3.9,4,7,224.0,71.0,7.0
myciel7,2,8,3.9,5,254,327.0,60.0,106.0
1-Insertions_4,2,5,3.9,3,2,147.0,98.0,1.0
1-Insertions_5,2,6,3.9,3,53,798.0,1275.0,52.0
1-Insertions_6,2,7,3.8,3,tl,2234.0,11915.0,1061.0
2-Insertions_4,2,5,3.9,3,22,360.0,987.0,4.0
2-Insertions_5,2,6,3.8,3,16116,5711.0,18905.0,120.0
3-Insertions_3,2,4,3.6,3,1,98.0,76.0,0.0
3-Insertions_4,2,5,3.9,3,646,2064.0,3346.0,39.0
3-Insertions_5,2,6,6.7,-,tl,5251.0,5828.0,0.0
4-Insertions_3,2,4,4.1,3,1,123.0,141.0,0.0
4-Insertions_4,2,5,3.9,3,14492,5722.0,12612.0,100.0
1-Fullins_4,3,5,3.9,4,1,98.0,0.0,0.0
1-Fullins_5,3,6,3.9,4,3,158.0,30.0,1.0
2-FullIns_3,4,5,2.9,5,0,67.0,0.0,0.0
2-Fullins_4,3,6,3.7,5,1,167.0,2.0,0.0
2-FullIns_5,3,7,3.9,5,492,326.0,205.0,59.0
3-FullIns_3,5,6,2.9,6,0,68.0,0.0,0.0
3-FullIns_4,3,7,3.6,6,1,212.0,1.0,0.0
3-FullIns_5,3,8,6.9,6,417,393.0,100.0,147.0
4-FullIns_3,2,7,3.4,7,0,69.0,0.0,0.0
4-Fullins_4,3,8,4.2,7,14,390.0,31.0,0.0
4-FullIns_5,3,9,38.4,7,25671,217.0,163.0,295.0
5-FullIns_3,7,8,3.6,8,1,73.0,0.0,0.0
5-FullIns_4,3,9,6.9,8,47,255.0,9.0,5.0
wap01,40,43,286.4,-,tl,11937.0,1104.0,0.0
wap02,40,42,260.1,-,tl,4400.0,216.0,0.0
wap03,40,47,354.0,-,tl,7682.0,83.0,0.0
wap04,40,44,329.0,-,tl,5944.0,10.0,0.0
wap05,40,50,171.2,50,122,42752.0,0.0,0.0
wap06,40,40,175.0,,,,,
wap07,40,42,247.2,-,tl,7768.0,1271.0,0.0
wap08,40,42,264.5,-,tl,4347.0,457.0,0.0
qg_order30,30,30,0.2,,,,,
qg_order40,40,40,2.9,,,,,
qg_order60,60,60,3.8,,,,,
fpsol2_i_1,57,65,4.6,65,6,1679.0,0.0,0.0
fpsol2_i_2,29,30,4.2,30,7,7829.0,0.0,0.0
fpsol2_i_3,29,30,4.0,30,6,11521.0,0.0,0.0
mug88_1,3,4,2.6,4,7,2260.0,29.0,0.0
mug88_25,3,4,2.6,4,8,2758.0,51.0,0.0
mug100_1,3,4,2.4,4,12,5408.0,60.0,0.0
mug100_25,3,4,3.0,4,9,2088.0,51.0,0.0
ash331GPIA,3,4,2.9,4,43,125.0,388.0,0.0
ash608GPIA,3,4,5.8,4,2809,119.0,2016.0,0.0
ash958GPIA,3,4,5.6,-,tl,128.0,5204.0,0.0
abb313GPIA,6,9,7.9,8,11517,547.0,3807.0,687.0
will199GPIA,5,7,3.7,7,77,8454.0,7.0,0.0
inithx.i. 1,53,54,6.0,54,15,593.0,0.0,0.0
inithx.i. 2,29,31,4.2,31,5,1358.0,0.0,0.0
inithx.i. 3,29,31,3.9,31,6,2339.0,0.0,0.0
mulsol.i. 1,49,49,0.2,,,,,
mulsol.i. 2,30,31,3.7,31,1,8880.0,0.0,0.0
mulsol.i. 3,31,31,0.2,,,,,
mulsol.i. 4,31,31,0.2,,,,,
mulsol.i. 5,30,31,4.0,31,2,1494.0,0.0,0.0
school1,14,14,0.4,,,,,
school1_nsh,13,14,3.0,14,14,1036.0,680.0,0.0
zeroin.i. 1,48,49,3.8,49,0,691.0,0.0,0.0
zeroin.i. 2,28,30,3.4,30,1,6847.0,0.0,0.0
zeroin.i. 3,29,30,3.5,30,1,8920.0,0.0,0.0
anna,8,11,3.6,11,0,42.0,0.0,0.0
david,11,11,0.2,,,,,
huck,11,11,0.2,,,,,
jean,10,10,0.2,,,,,
games120,9,9,0.2,,,,,
miles250,6,8,4.0,8,1,10597.0,0.0,0.0
miles500,19,20,3.7,20,0,81.0,0.0,0.0
miles750,31,31,0.2,,,,,
miles1000,42,42,0.2,,,,,
miles1500,73,73,0.1,,,,,
