instance,ub,time,nodes
1-FullIns_4,5,0.0,3013
1-FullIns_5,6,0.0,4611
1-Insertions_4,5,,3285368292
1-Insertions_5,6,,1941304976
1-Insertions_6,7,,984504060
2-FullIns_3,5,0.0,6
2-FullIns_4,6,0.0,69
2-FullIns_5,7,0.0,40482
2-Insertions_4,5,,2282050125
2-Insertions_5,6,,1028588270
3-FullIns_3,6,0.0,7
3-FullIns_4,7,0.0,129
3-FullIns_5,8,,665789658
3-Insertions_3,4,1.5,3434261
3-Insertions_4,5,,1608405161
3-Insertions_5,6,,497689431
4-FullIns_3,7,0.0,8
4-FullIns_4,8,0.0,128
4-FullIns_5,9,,423272354
4-Insertions_3,4,,3229375685
4-Insertions_4,5,,1250788090
5-FullIns_3,8,0.0,9
5-FullIns4,9,0.0,153
abb313GPIA,10,,785420931
anna,11,0.0,1
ash331GPIA,4,0.0,1131
ash608GPIA,4,0.0,2427
ash958GPIA,5,,234359946
C2000.5,216,,1
C4000.5,,,
david,11,0.0,1
DSJC1000.1,25,,311540866
DSJC1000.5,114,,144353376
DSJC1000.9,,,
DSJC125.1,5,0.0,290
DSJC125.5,19,,1007429681
DSJC125.9,45,,701674554
DSJC250.1,9,,1017076072
DSJC250.5,35,,569582279
DSJC250.9,,,
DSJC500.1,14,,603420521
DSJC500.5,62,,321102532
DSJR500.1c,,,
DSJR500.1,12,0.1,117132
DSJR500.5,134,,1026643225
flat1000_50_0,112,,161099104
flat1000_60_0,112,,142816890
flat1000_76_0,111,,125707629
fpsol2.i.1,65,0.0,1
fpsol2.i.2,30,0.0,1
fpsol2.i.3,30,0.0,1
games120,9,0.0,1
huck,11,0.0,1
inithx.i.1,54,0.0,1
inithx.i.2,31,0.0,1
inithx.i.3,31,0.0,1
jean,10,0.0,1
latin_square,153,,1
le450_15a,17,,2067792547
le450_15b,16,,972319400
le450_15c,22,,639434972
le450_15d,23,,635710737
le450_25a,25,0.0,1
le450_25b,25,0.0,1
le450_25c,27,,677939432
le450_5a,9,,727964669
le450_5b,9,,747642318
le450_5c,5,0.0,2892
le450_5d,5,51.6,20397241
miles1000,42,0.0,45
miles1500,73,0.0,1
miles250,8,0.0,1
miles500,20,0.0,1
miles750,31,0.0,44
mug100_1,4,,5348610817
mug100_25,4,,5230617855
mug88_1,4,460.7,1694387669
mug88_25,4,290.6,1062827981
mulsol.i.1,49,0.0,1
mulsol.i.2,31,0.0,1
mulsol.i.3,31,0.0,1
mulsol.i.4,31,0.0,1
mulsol.i.5,31,0.0,1
myciel6,7,,2106152516
myciel7,8,,1573252182
qg.order30,30,0.0,2491
qg.order40,40,0.2,58971
qg.order60,62,,377150626
queen10_10,11,,1676596671
queen11_11,13,,1538642053
queen12_12,14,,1430010102
queen13_13,15,,1340956423
queen14_14,16,,1187949544
queen15_15,18,,1167846294
queen16_16,19,,1047030161
queen8_12,12,0.0,375
queen8_8,9,0.5,668699
queen9_9,10,244.5,300489064
r1000.1c,,,
school1,14,4.5,383
school1_nsh,14,1.7,1001
wap01a,51,,327214469
wap02a,45,,507088624
wap03a,53,,353433910
wap04a,48,,215930024
wap05a,50,0.0,1
wap06a,45,,565243140
wap07a,45,,341848594
wap08a,46,,365009521
will199GPIA,7,0.0,693
zeroin.i.1,49,0.0,1
zeroin.i.2,30,0.0,1
zeroin.i.3,30,0.0,1
