instance,nodes,edges,density,min_deg,max_deg,components,components_complement,source,algebraic_connectivity,energy,matilda_maxis,matilda_dsatur,lb,ub
1-FullIns_3,30.0,100.0,0.229885,4.0,11.0,1.0,1.0,dimacs,,,,,4,4
1-FullIns_4,93.0,593.0,0.138616,6.0,32.0,1.0,1.0,dimacs,,,,,5,5
1-FullIns_5,282.0,3247.0,0.081951,8.0,95.0,1.0,1.0,dimacs,,,,,6,6
1-Insertions_4,67.0,232.0,0.10493,4.0,22.0,1.0,1.0,dimacs,,,,,5,5
1-Insertions_5,202.0,1227.0,0.06044,5.0,67.0,1.0,1.0,dimacs,,,,,6,6
1-Insertions_6,607.0,6337.0,0.034455,6.0,202.0,1.0,1.0,dimacs,,,,,4,7
1hexagon_tess,7.0,12.0,0.571429,3.0,6.0,1.0,2.0,dimacs,,,,,3,3
2_partite_size6,12.0,36.0,0.545455,6.0,6.0,1.0,2.0,dimacs,,,,,2,2
2-FullIns_3,52.0,201.0,0.151584,4.0,15.0,1.0,1.0,dimacs,,,,,5,5
2-FullIns_4,212.0,1621.0,0.072476,6.0,55.0,1.0,1.0,dimacs,,,,,6,6
2-FullIns_5,852.0,12201.0,0.033656,8.0,215.0,1.0,1.0,dimacs,,,,,7,7
2-Insertions_3,37.0,72.0,0.108108,3.0,9.0,1.0,1.0,dimacs,,,,,4,4
2-Insertions_4,149.0,541.0,0.049066,4.0,37.0,1.0,1.0,dimacs,,,,,5,5
2-Insertions_5,597.0,3936.0,0.022124,5.0,149.0,1.0,1.0,dimacs,,,,,6,6
2hexagon_tess,10.0,19.0,0.422222,3.0,6.0,1.0,1.0,dimacs,,,,,3,3
3_partite_3_diff_sizes,6.0,11.0,0.733333,3.0,5.0,1.0,3.0,dimacs,,,,,3,3
3_partite_size_6,18.0,108.0,0.705882,12.0,12.0,1.0,3.0,dimacs,,,,,3,3
3-FullIns_3,80.0,346.0,0.109494,4.0,19.0,1.0,1.0,dimacs,,,,,6,6
3-FullIns_4,405.0,3524.0,0.043075,6.0,84.0,1.0,1.0,dimacs,,,,,7,7
3-FullIns_5,2030.0,33751.0,0.016388,8.0,409.0,1.0,1.0,dimacs,,,,,8,8
3-Insertions_3,56.0,110.0,0.071429,3.0,11.0,1.0,1.0,dimacs,,,,,4,4
3-Insertions_4,281.0,1046.0,0.026589,4.0,56.0,1.0,1.0,dimacs,,,,,5,5
3-Insertions_5,1406.0,9695.0,0.009816,5.0,281.0,1.0,1.0,dimacs,,,,,4,6
3hexagon_tess,12.0,24.0,0.363636,3.0,6.0,1.0,1.0,dimacs,,,,,3,3
3partite6,18.0,108.0,0.705882,12.0,12.0,1.0,3.0,dimacs,,,,,3,3
4_partite_4_diff_sizes,10.0,35.0,0.777778,6.0,9.0,1.0,4.0,dimacs,,,,,4,4
4-FullIns_3,114.0,541.0,0.083993,4.0,23.0,1.0,1.0,dimacs,,,,,7,7
4-FullIns_4,690.0,6650.0,0.027976,6.0,119.0,1.0,1.0,dimacs,,,,,8,8
4-FullIns_5,4146.0,77305.0,,,,,,,,,,,9,9
4-Insertions_3,79.0,156.0,0.050633,3.0,13.0,1.0,1.0,dimacs,,,,,4,4
4-Insertions_4,475.0,1795.0,0.015945,4.0,79.0,1.0,1.0,dimacs,,,,,5,5
4triangles,12.0,18.0,0.272727,3.0,3.0,1.0,1.0,dimacs,,,,,3,3
5-FullIns_3,154.0,792.0,0.067227,4.0,27.0,1.0,1.0,dimacs,,,,,8,8
